Player,Owner,Team,Pos
Will Benson,Lemon Law Lineup,CIN,OF
Will Smith,O'Doyle Rulez,LAD,C
Will Vest,Soylent Green Oreos,DET,RP
Willi Castro,Levittown LumberJacks,COL,"2B,3B,OF"
William Contreras,Quality Start,MIL,C
Willson Contreras,Levittown LumberJacks,BOS,1B
Willy Adames,Lemon Law Lineup,SF,SS
Wilyer Abreu,Bo-Peeps Gentleman's Club,BOS,OF
Winston Santos,Levittown LumberJacks,TEX,SP
Wyatt Langford,Halifax,TEX,OF
Xavier Edwards,Bo-Peeps Gentleman's Club,MIA,"2B,SS"
Xavier Isaac,Levittown LumberJacks,TB,1B
Yainer Diaz,Diamond Kings 2.0,HOU,C
Yandy Diaz,Fear the Beer,TB,1B
Yoeilin Cespedes,Buck Dynasty,BOS,2B
Yoniel Curet,Quality Start,PHI,SP
Yordan Alvarez,Levittown LumberJacks,HOU,OF
Yoshinobu Yamamoto,Buck Dynasty,LAD,SP
Yu Darvish,Levittown LumberJacks,SD,SP
Yusei Kikuchi,Lemon Law Lineup,LAA,SP
Zac Gallen,Buck Dynasty,ARI,SP
Zach Dezenzo,The Jackson 54,HOU,OF
Zach McKinstry,Bo-Peeps Gentleman's Club,DET,"3B,SS,OF"
Zach Neto,Quality Start,LAA,SS
Zack Gelof,Lemon Law Lineup,ATH,2B
Zack Littell,Lemon Law Lineup,CIN,SP
Zack Wheeler,The Jackson 54,PHI,SP
Zebby Matthews,Renegades,MIN,SP
Zyhir Hope,Soylent Green Oreos,LAD,OF
Brandon Walter,The Jackson 54,HOU,SP
Mason Miller,The Jackson 54,SD,RP
Kendry Chourio,The Jackson 54,KC,SP
Drew Rasmussen,The Jackson 54,TB,SP
Brandon Walter,The Jackson 54,HOU,SP
Mason Miller,The Jackson 54,SD,RP
Kendry Chourio,The Jackson 54,KC,SP
